epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,4819.21,0.56961,0.9271,0.51784,0.91813,0.53426,0.83557,0.6333,0.54734,0.54515,0.84097,0.64457,0.53196,0.55442,0.96581,0.55361,0.90085,5.4982e-05,5.4982e-05,5.4982e-05
88,4874.26,0.56889,0.92782,0.51991,0.91765,0.55266,0.77568,0.63959,0.55049,0.55873,0.78542,0.64606,0.53571,0.55919,0.95833,0.549,0.90292,5.1319e-05,5.1319e-05,5.1319e-05
89,4929.53,0.56909,0.93331,0.51707,0.91787,0.57498,0.72076,0.63849,0.55168,0.5825,0.73632,0.64918,0.53374,0.55357,0.96067,0.55353,0.90138,4.7656e-05,4.7656e-05,4.7656e-05
90,4984.97,0.56636,0.91966,0.51374,0.91861,0.56366,0.72657,0.6307,0.54557,0.57345,0.74171,0.64144,0.53142,0.55318,0.94714,0.5492,0.9001,4.3993e-05,4.3993e-05,4.3993e-05
91,5038.26,0.50723,0.82597,0.43726,0.89294,0.58428,0.76749,0.66925,0.57549,0.59443,0.78126,0.68189,0.55725,0.55614,0.9556,0.52769,0.90177,4.033e-05,4.033e-05,4.033e-05
92,5089.72,0.49547,0.79709,0.41585,0.88667,0.56057,0.78443,0.65469,0.56204,0.5686,0.79695,0.66465,0.54646,0.55405,0.94841,0.54287,0.90044,3.6667e-05,3.6667e-05,3.6667e-05
93,5141.03,0.48782,0.79198,0.40872,0.88119,0.58976,0.75123,0.66722,0.5735,0.60197,0.76236,0.68161,0.55784,0.55223,0.94677,0.5261,0.89902,3.3004e-05,3.3004e-05,3.3004e-05
94,5192.56,0.48322,0.78074,0.4005,0.88039,0.59502,0.75015,0.65919,0.56984,0.60631,0.76493,0.67339,0.55302,0.55191,0.9502,0.5251,0.89914,2.9341e-05,2.9341e-05,2.9341e-05
95,5244.08,0.48199,0.78096,0.39496,0.88179,0.56976,0.74782,0.65072,0.56441,0.58062,0.76156,0.66585,0.54662,0.54818,0.94129,0.53957,0.89746,2.5678e-05,2.5678e-05,2.5678e-05
96,5295.77,0.47998,0.77952,0.39049,0.87999,0.59118,0.75358,0.66544,0.57753,0.60267,0.76915,0.68038,0.5609,0.54789,0.93934,0.52744,0.89727,2.2015e-05,2.2015e-05,2.2015e-05
97,5347.25,0.47856,0.77415,0.38747,0.87905,0.58648,0.75845,0.66167,0.57207,0.595,0.77252,0.67514,0.55632,0.54692,0.9376,0.52454,0.89679,1.8352e-05,1.8352e-05,1.8352e-05
98,5398.83,0.47462,0.77087,0.38543,0.87621,0.58964,0.7534,0.66006,0.57148,0.59651,0.76792,0.67371,0.55598,0.54673,0.93573,0.52798,0.89667,1.4689e-05,1.4689e-05,1.4689e-05
99,5450.23,0.47431,0.7621,0.38495,0.87667,0.57372,0.76506,0.65247,0.56576,0.58805,0.77342,0.66632,0.55026,0.54856,0.94039,0.5372,0.89709,1.1026e-05,1.1026e-05,1.1026e-05
100,5501.63,0.47561,0.77055,0.38205,0.87629,0.59728,0.73987,0.65553,0.56797,0.60727,0.75283,0.66954,0.55335,0.54635,0.94061,0.52897,0.89666,7.363e-06,7.363e-06,7.363e-06
